"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8864,"엠브레인","중앙일보",2022-02-04,2022-02-05
"2",8860,"칸타코리아","조선일보",2022-02-04,2022-02-05
"3",8848,"서던포스트","CBS",2022-02-04,2022-02-05
"4",8845,"케이스탯리서치","한겨례",2022-02-03,2022-02-04
"5",8844,"한국사회여론연구소(KSOI)","국민일보",2022-02-03,2022-02-04
"6",8843,"리얼미터","오마이뉴스",2022-02-02,2022-02-04
"7",8838,"PNR·피플네트웍스","프라임경제신문",2022-02-02,2022-02-03
"8",8837,"리서치뷰","UPI뉴스",2022-02-01,2022-02-03
"9",8828,"서던포스트","CBS",2022-01-28,2022-01-29
"10",8817,"리얼미터","오마이뉴스",2022-01-23,2022-01-28
"11",8807,"PNR·피플네트웍스","프라임경제신문",2022-01-26,2022-01-27
"12",8800,"리서치뷰","UPI뉴스",2022-01-25,2022-01-27
"13",8786,"엠브레인","전국지표조사(NBS)",2022-01-24,2022-01-26
"14",8783,"리처치앤리서치","채널A",2022-01-23,2022-01-25
"15",8779,"넥스트리서치","세계일보",2022-01-24,2022-01-25
"16",8772,"엠브레인","문화일보",2022-01-24,2022-01-25
