"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",9072,"여론조사공정","데일리안",2022-02-25,2022-02-27
"2",9068,"리얼미터","더팩트",2022-02-26,2022-02-27
"3",9067,"리얼미터","오마이뉴스",2022-02-24,2022-02-27
"4",9065,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"5",9060,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"6",9056,"서던포스트","CBS",2022-02-26,2022-02-26
"7",9055,"한국갤럽","서울신문",2022-02-25,2022-02-26
"8",9054,"한국리서치","KBS",2022-02-24,2022-02-26
"9",9053,"엠브레인","news1",2022-02-25,2022-02-26
"10",9048,"리서치뷰","리서치뷰",2022-02-22,2022-02-24
"11",9047,"한국갤럽","한국갤럽",2022-02-22,2022-02-24
"12",9046,"칸타코리아","조선일보",2022-02-23,2022-02-24
"13",9041,"엠브레인","중앙일보",2022-02-22,2022-02-23
"14",9039,"케이스탯리서치","전국지표조사(NBS)",2022-02-21,2022-02-23
"15",9036,"코리아리서치인터내셔널","MBC",2022-02-22,2022-02-23
"16",9035,"리얼미터","오마이뉴스",2022-02-20,2022-02-23
"17",9025,"한국갤럽","머니투데이",2022-02-21,2022-02-22
