"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",9124,"한국리서치","방송3사",2022-03-01,2022-03-02
"2",9118,"리서치뷰","리서치뷰",2022-03-01,2022-03-02
"3",9115,"한국리서치","전국지표조사(NBS)",2022-02-28,2022-03-02
"4",9111,"서던포스트","CBS",2022-03-02,2022-03-02
"5",9108,"리얼미터","오마이뉴스",2022-02-28,2022-03-02
"6",9100,"글로벌리서치","JTBC",2022-02-28,2022-03-01
"7",9090,"PNR·피플네트웍스","뉴데일리",2022-02-26,2022-03-01
"8",9086,"아시아리서치앤컨설팅","자유일보",2022-02-28,2022-02-28
"9",9083,"칸타코리아","서울경제",2022-02-27,2022-02-28
"10",9076,"에이스리서치","한국지방신문협회",2022-02-27,2022-02-28
"11",9072,"여론조사공정","데일리안",2022-02-25,2022-02-27
"12",9068,"리얼미터","더팩트",2022-02-26,2022-02-27
"13",9067,"리얼미터","오마이뉴스",2022-02-24,2022-02-27
"14",9065,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"15",9060,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"16",9056,"서던포스트","CBS",2022-02-26,2022-02-26
"17",9055,"한국갤럽","서울신문",2022-02-25,2022-02-26
"18",9054,"한국리서치","KBS",2022-02-24,2022-02-26
"19",9053,"엠브레인","news1",2022-02-25,2022-02-26
"20",9048,"리서치뷰","리서치뷰",2022-02-22,2022-02-24
"21",9047,"한국갤럽","한국갤럽",2022-02-22,2022-02-24
"22",9046,"칸타코리아","조선일보",2022-02-23,2022-02-24
